# File modified by Jason Curtis:
#   - certain columns were removed, others renamed
#   - the row with the column names is no longer commented out so that the names can be read properly.
#
# Original File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Tue Dec  7 06:20:02 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries
# Kind of output: isochrone tables
log_Age Initial_Mass Mass log_Lum log_Temp log_g label Gmag G_BPmag G_RPmag
8.0 0.0900000036 0.09 -2.755 3.4013 4.705 0 13.61 16.478 12.255
8.0 0.0931723565 0.093 -2.73 3.4048 4.708 0 13.546 16.415 12.192
8.0 0.1000000015 0.1 -2.675 3.4126 4.715 0 13.409 16.28 12.054
8.0 0.1009420455 0.101 -2.668 3.4135 4.716 0 13.392 16.263 12.037
8.0 0.1116045266 0.112 -2.593 3.4232 4.724 0 13.129 15.884 11.786
8.0 0.1200000122 0.12 -2.538 3.431 4.731 0 12.887 15.49 11.561
8.0 0.1400000006 0.14 -2.432 3.4434 4.741 0 12.474 14.871 11.172
8.0 0.142202422 0.142 -2.421 3.4447 4.742 0 12.432 14.809 11.133
8.0 0.1599999964 0.16 -2.338 3.4543 4.75 0 12.114 14.333 10.837
8.0 0.200000003 0.2 -2.186 3.4712 4.761 0 11.547 13.509 10.312
8.0 0.2232969105 0.223 -2.112 3.4788 4.766 0 11.285 13.14 10.068
8.0 0.25 0.25 -2.035 3.4867 4.77 0 11.012 12.758 9.819
8.0 0.2923896313 0.292 -1.928 3.4967 4.771 0 10.654 12.281 9.487
8.0 0.3000000119 0.3 -1.91 3.4984 4.771 0 10.596 12.205 9.433
8.0 0.3500000238 0.35 -1.796 3.5087 4.765 0 10.229 11.735 9.092
8.0 0.4000000358 0.4 -1.681 3.5194 4.75 0 9.862 11.27 8.752
8.0 0.4500000477 0.45 -1.558 3.5314 4.727 0 9.473 10.784 8.394
8.0 0.5 0.5 -1.421 3.5474 4.699 0 9.03 10.228 7.991
8.0 0.5251325369 0.525 -1.332 3.5602 4.683 0 8.73 9.842 7.723
8.0 0.5500000119 0.55 -1.247 3.5722 4.666 0 8.446 9.484 7.472
8.0 0.5576420426 0.557 -1.217 3.5774 4.663 0 8.341 9.349 7.381
8.0 0.6000000238 0.6 -1.072 3.604 4.656 0 7.839 8.712 6.946
8.0 0.6227192879 0.623 -1.0 3.6205 4.666 0 7.58 8.379 6.728
8.0 0.6450505853 0.645 -0.959 3.6293 4.676 0 7.435 8.194 6.606
8.0 0.6499999762 0.65 -0.952 3.6305 4.677 0 7.411 8.165 6.585
8.0 0.6611356735 0.661 -0.937 3.6333 4.68 0 7.36 8.101 6.542
8.0 0.7000000477 0.7 -0.845 3.6489 4.676 0 7.057 7.728 6.283
8.0 0.7470761538 0.747 -0.711 3.6738 4.67 0 6.614 7.188 5.909
8.0 0.75 0.75 -0.703 3.6753 4.669 0 6.588 7.156 5.887
8.0 0.8000000119 0.8 -0.575 3.6946 4.647 0 6.205 6.711 5.552
8.0 0.8467596173 0.846 -0.461 3.7115 4.625 0 5.877 6.335 5.264
8.0 0.8500000238 0.85 -0.454 3.7127 4.624 0 5.855 6.31 5.245
8.0 0.9000000358 0.899 -0.34 3.7296 4.602 0 5.536 5.949 4.963
8.0 0.9500000477 0.95 -0.231 3.7446 4.577 0 5.243 5.619 4.705
8.0 1.0 1.0 -0.123 3.7584 4.547 0 4.96 5.301 4.453
8.0 1.0300549269 1.03 -0.06 3.7661 4.528 0 4.799 5.122 4.31
